YYYYMM,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
201001,-2.06,-12.88,-4.66,-3.48,-3.51,-4.43,-0.44,-2.76,-11.92,-2.98,-7.3,-0.15,-2.13,-4.5,-1.3,-1.18,-4.81
201002,1.86,12.37,2.12,6.71,9.85,5.79,1.39,5.81,4.2,7.32,7.23,6.52,5.91,-0.43,3.7,2.71,2.49
201003,5.06,7.24,3.14,11.15,5.59,7.51,3.27,5.36,12.04,5.3,7.74,8.88,9.03,3.1,6.47,8.14,6.5
201004,-1.28,-0.84,3.83,4.75,6.85,2.49,-1.96,10.92,-2.63,3.44,4.78,6.76,3.19,2.86,1.36,0.95,1.75
201005,-4.81,-7.96,-10.6,-5.97,-5.5,-10.56,-6.27,-8,-7.01,-8.99,-8.05,-6.88,-7.64,-6.31,-5.71,-9.12,-7.91
201006,-1.9,-7.07,-6.28,-9.67,-8.81,-7.96,-0.1,-13.95,-13.18,-6.37,-5.94,-7.68,-7.29,-0.72,-9.17,-7.31,-5.77
201007,6.68,9.56,7.44,8.23,4.1,14.78,3.47,4.62,8.28,10.4,7.57,16.36,9.8,6.79,4.93,6.62,7.91
201008,-0.68,-0.3,-3.3,-7.28,-3.82,-0.08,-0.43,-4.49,-8.74,-3.23,-9.07,-8.6,-6.34,0.41,-3.36,-8.38,-4.67
201009,3.16,11.74,9.45,17.21,11.65,10,7.07,10.56,12.1,10.84,13.95,12.54,9.93,3.64,12.37,7.46,10.8
201010,4.03,8.12,4.35,3.32,1.61,8.79,2.98,-1.13,4.64,7.57,5.01,9.45,5.48,1.86,2.43,1.97,5.03
201011,-0.15,5.7,5.27,8.53,5.31,0.68,-4.03,2.46,2.98,3.3,2.14,7.6,0.84,-1.31,5.04,-0.34,-1.2
201012,4.56,14.1,9.21,1.28,6.74,7.24,4.44,13.44,13.32,6.09,6.13,7.32,3.87,3.22,1.65,10.51,7.22
201101,-1.95,-5.09,7.2,-3.35,-1.95,1.73,-1.89,3.69,3.98,2.46,5.02,-0.39,2.52,2.23,-1.81,2.24,2.27
201102,2.96,0.84,8.01,8.76,3.94,5.06,3.85,2.26,3.98,2.71,2.63,-2.44,1.86,2.43,1.6,2.65,4.02
201103,2.26,2.62,1.5,-3.82,5.3,1.69,1.98,1.76,0.75,3.01,-1.09,2.16,2.72,0.91,0.9,-1.49,0.62
201104,4.07,-1.26,1.47,7.78,5.03,5.14,6.47,-0.22,0.58,2.08,2.69,1.75,2.91,3.99,5.17,0.65,3.28
201105,1.76,-5.79,-4.53,0.5,0.63,-3.76,3.14,-3.23,-5.35,-0.24,-2.87,-2.66,-0.88,1.3,1.48,-2.5,-0.79
201106,-0.01,-3.17,-2.34,3.74,0.83,-0.27,-2.68,-2.5,-1.89,-0.89,-2.84,-0.92,0.07,-0.34,-1,-2.18,-1.38
201107,-1.7,0.31,0.52,1.72,-6.14,-1.42,-2.05,-5.68,-6.22,-5.76,-2.38,-8.64,-5.58,-0.35,0.64,-3.9,-2.74
201108,-0.29,-6.53,-9.84,-5.6,-7.18,-8.17,0.31,-7.1,-13.2,-6.35,-7.87,-9.17,-6.86,0.14,-2.59,-9.13,-5.91
201109,-4.38,-24.38,-12.01,-5.63,-13.21,-17.39,-3.23,-9.76,-20.49,-11.96,-7.72,-11.65,-7.36,-1.63,-3.21,-11.02,-5.98
201110,4.07,21.92,16.3,16.37,16.58,18.37,4.85,15.55,18.15,17.66,14.65,20.86,13.16,6.68,8.8,13.43,10.32
201111,0.62,0.04,1.85,-3.68,-3.27,-1.52,2.73,6.11,-1.46,3.76,-1.18,-7.05,1.76,0.99,0.25,-2.91,-0.64
201112,2.13,-8.29,-0.24,-2.06,-2.58,0.09,3.8,3.08,-5.18,-3.93,-1.51,-0.85,0.9,2.95,0.45,1.76,0.29
201201,0.6,12.02,1.42,9.69,10.22,11.44,-1.07,7.6,12.4,6.35,11.53,12.54,5.75,-2.71,3.24,7.15,5.12
201202,0.96,-4.29,6.73,6.45,10.29,1.95,3.54,5.69,-2.69,5.46,6.72,5.12,1.75,1.25,2.9,6.5,3.88
201203,3.74,-7.09,-3.12,1.82,4.54,2.24,3.87,5.51,0.67,2.05,3.57,0.77,0.63,1.44,4.69,6.88,3.44
201204,0.87,-0.68,-1.7,0.1,-3.98,0.17,0.32,2.13,-4.29,-1.12,-2.69,-3.73,0.49,1.74,1.11,-2.42,-0.54
201205,-1.39,-14.43,-10.54,-5.52,-11.14,-9.52,-2.89,-6.71,-14.52,-5.42,-8.47,-7.74,-4.72,-0.93,-1.58,-9.01,-5.3
201206,3.86,6.37,5.89,-10,-0.69,3.62,5.05,6.12,4.78,0.13,1.43,-6.09,3.42,3.4,2.11,4.52,5.01
201207,0.3,-4.02,2.99,2.11,1.86,-1.06,3.01,-2.89,-1.35,2.84,1.23,0.46,-0.91,3.73,1.7,-1.09,0.01
201208,-0.12,5.03,2.42,8.02,6.29,2.7,-0.38,9,-1.1,0.82,5.38,2.88,0.38,-3.34,2.49,4.13,2.22
201209,1.08,8.56,3.59,-0.11,3.23,1.02,2.82,5.66,3.77,3.88,-0.31,2.64,-1.19,2.17,1.74,3.6,4.51
201210,-1.82,3.29,-2.07,-0.96,2.09,-2.81,-0.56,3.2,-0.73,-0.65,-5.81,6.16,2.02,1.05,-2.37,1.96,-3.55
201211,3.46,-3.66,-1.31,4.01,2.01,2.55,0.94,5.11,2.61,2.78,1.67,3.99,1.51,-3.68,0.61,-0.66,1.74
201212,-1.27,0.46,1.19,0.36,0.53,4.42,-1.77,0.71,6.56,1.66,0.24,5.58,2.7,0.14,-1.43,4.3,1.49
