YYYYMM,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
201001,-0.92,-3.7,-3.35,1.12,1.23,0.85,-3.11,0,-4.04,-8.66,-1.37,-11.92,-6.64,-4.18,0.51,0.52,-15,-7.41,-4.64,-4.5,-6.84,-7.1,-7.88,-5.49,-4.04,-2.55,-1.92,-0.98,-1.18,2.24
201002,2.92,0.25,4.43,6.02,-1.78,3.69,6.07,0.38,5.45,15.68,2.5,4.2,7.96,10.13,6.69,3.92,13.12,10.82,2.13,-0.43,2.92,2.84,6.3,3.05,7.25,5.89,4.32,4.5,2.71,1.86
201003,4.44,6.11,6.12,12.06,5.53,2.13,11.39,3.61,7.36,8.42,7.34,12.04,6.49,7.02,8.93,11.1,9.05,2.15,3.21,3.1,7.88,5.22,8.12,5.86,8.11,5.99,6.14,8.27,8.14,9.07
201004,-1.46,-1.76,-2.51,10.96,2.32,1.21,4.23,-2.23,3.09,11.43,10.66,-2.63,6.03,4.31,4.82,2.77,-0.37,-2.21,3.81,2.86,3.82,0.46,3.89,4.21,3.82,3.2,1.85,7.31,0.95,3.85
201005,-5.37,-3.88,-7.69,-7.05,-10.12,-4.35,-5.67,-8.01,-9.99,-9.87,-10.88,-7.01,-9.89,-9.63,-10.02,-9.63,-5.65,-14.85,-10.56,-6.31,-5.91,-8.31,-7.08,-8.89,-5.98,-4.01,-5.83,-4.76,-9.12,-10.07
201006,-1.97,-1.63,3.32,-8.8,-8.7,-3.24,-9.31,-1.63,-7.79,-14.55,-12.6,-13.18,-5.51,-7.04,-9.6,-6.03,-5.81,-9.48,-6.31,-0.72,-4.33,-6.78,-5.99,-2.3,-7.66,-5.2,-10.56,-5.21,-7.32,-7.58
201007,5.04,8.37,10.74,7.85,5.29,4.22,8.34,2.14,14.24,6.81,7.75,8.28,13.84,11.78,16.32,10.34,8.27,14.17,7.51,6.79,9.74,8.23,6.81,7.64,10.84,3.2,4.65,6.9,6.62,8.04
201008,-0.46,-0.01,0.03,-1.32,-10.04,-3.96,-7.41,-1.66,-0.11,-5.5,-6.28,-8.74,-8.15,-6.46,-10.48,-8.16,1.76,-5.88,-3.28,0.41,-2.23,-5.26,-8.21,-6.06,-4.65,-7.55,-4.18,0.46,-8.38,-7.13
201009,1.57,4.95,9.74,14.16,12.91,3.98,17.54,9.01,9.97,13.39,10.22,12.1,15.81,13.76,14.06,10.31,11.26,13.55,9.5,3.64,7.86,11.62,13.47,9.16,9.87,9.9,13.59,7.06,7.46,10
201010,5.86,1.93,5.34,12.57,7.13,4.51,3.34,2,8.18,3.28,1.58,4.64,4.58,4.75,9.72,5.96,8.75,6.8,4.29,1.86,4.81,8.01,4.16,3.49,5.35,4.95,1.32,6.04,1.97,-0.11
201011,-1.85,2.01,-3.89,7.31,-3.16,-2.36,9.27,-3.34,0.84,-1.01,3.7,2.98,6.58,3.33,6.74,-0.45,3.04,14.44,5.25,-1.31,-1.86,-2.43,1.14,0.32,2.42,0.29,4.95,4.17,-0.34,-1.16
201012,5.69,3.57,4.23,-0.66,8.37,5.79,1.08,5.41,7.49,4.19,12.59,13.32,10.63,5.79,8.3,4.42,13.87,14.55,9.15,3.22,6.71,7.14,5.27,4.78,3.19,6.83,3.5,0.07,10.51,11.84
201101,-0.62,-3.62,-3.29,1.52,2.56,-1,-3.32,-0.71,1.6,-3.65,4.58,3.98,5.04,3.59,0.56,5.01,-7.48,1.38,7.17,2.23,0.05,2.48,4.92,3.06,-0.48,2.8,-1.28,-2.39,2.24,7.54
201102,5.25,0.6,8.65,2.15,3.06,1.66,8.88,3.33,4.92,7.1,1.25,3.98,3.81,2.81,-2.39,2.93,1.02,-0.02,7.97,2.43,7.59,2.47,2.88,3.34,1.42,2.97,1.38,3.92,2.65,3.59
201103,1.71,3.35,6.33,-0.53,-0.09,0.23,-4.4,2.3,2.01,4.5,2.71,0.75,4.39,1.1,1.53,2.58,0.17,8.82,1.64,0.91,1.77,0.07,-2.65,1.62,3.01,1.47,0.48,1.85,-1.49,-1.45
201104,4.27,3.9,5.39,6.04,0.12,4.93,8,6.38,4.48,4.95,0.11,0.58,1.66,0.99,1.72,4.11,-0.63,-2.79,1.47,3.99,3.41,2.64,3.3,1.76,2.93,4.06,5.2,1.4,0.65,2.16
201105,2.37,0.49,4.5,-0.56,2.34,3.05,0.34,1.97,-3.76,2.89,-2.5,-5.35,-5.7,-6.44,-3.29,-1.83,-5.6,-6.03,-4.51,1.3,0.77,-2.28,-1.16,0.34,-0.44,1.2,0.21,4.17,-2.5,-2.94
201106,-0.32,0.62,-5.6,-1.55,-1.31,-2.52,4.5,-1.83,-0.22,-6.35,-3.5,-1.89,-0.75,-0.24,-1.46,0.27,-1.76,-7.16,-2.34,-0.34,-1.24,-1.08,-3.24,-0.61,-0.47,-2.1,-1.41,1.58,-2.18,-1.93
