YYYYMM,Agric,Mines,Oil  ,Stone,Cnstr,Food ,Smoke,Txtls,Apprl,Wood ,Chair,Paper,Print,Chems,Ptrlm,Rubbr,Lethr,Glass,Metal,MtlPr,Machn,Elctr,Cars ,Instr,Manuf,Trans,Phone,TV   ,Utils,Garbg,Whlsl,Rtail,Money,Srvc ,Govt ,Other
201001,-6.64,-13.04,-3.64,-12.69,-0.68,-1.73,-3.35,-8.66,-3.01,-4.32,0.22,-8.96,1.12,-0.14,-5.39,-4.94,-3.47,-8.28,-11.92,-3,-7.38,-9.06,0.26,-1.56,-3.27,-4.04,-8.5,-5.29,-4.5,-4.85,-2.55,-1.71,-1.18,-6.48,6.27,-3.56
201002,-6.6,13.38,3.31,4.73,1.03,2.51,4.43,15.68,5.99,3.53,10.2,1.6,-1.71,1.31,1.23,5.55,6.62,2.23,4.2,6.46,7.38,5.88,5.16,4.2,9.3,7.25,-0.83,6.27,-0.43,3.03,5.89,4.28,2.71,3.07,1.07,-0.58
201003,2.04,7.11,1.33,7.45,6.38,5.46,6.12,8.42,13.29,7.3,7.81,6.68,5.5,3.5,4.68,7.1,10.55,12.08,12.04,6.01,8.25,7.83,10.1,5.23,5.16,8.11,6.3,9.19,3.1,3.49,5.99,6.28,8.14,5.77,11.94,3.58
201004,-10.17,-1.84,2.76,8.27,9.82,-0.87,-2.51,11.43,3.99,19.91,6.34,3.97,2.43,-1.61,4.59,5.47,6.17,14.79,-2.63,4.96,5.53,1.87,3.61,2.65,7.6,3.82,0.42,6.59,2.86,4.46,3.2,2.46,0.95,1.58,2.83,6.37
201005,-18.19,-8.27,-11.7,-6.17,-11.22,-3.67,-7.69,-9.87,-7.89,-14.74,-10.4,-6.58,-10.1,-7.71,-9.73,-5.01,-2.79,-10.77,-7.01,-9.76,-8.18,-7.55,-9.43,-8.35,-4.28,-5.98,-4.55,-6.94,-6.31,-4.77,-4.01,-5.52,-9.12,-7.73,-12.57,-9.06
201006,-8.54,-6.08,-7.01,-11.7,-13.31,-1.38,3.32,-14.55,-11.73,-16.68,-7.78,-2.42,-8.82,-2.05,-5.84,-7.37,-9.35,-11.66,-13.18,-7.95,-5.24,-7.42,-7.7,-4.68,-7.24,-7.66,-1.37,-6.62,-0.72,0.61,-5.2,-9.64,-7.32,-6.88,-8.9,-2.13
201007,18.72,10.14,7.02,5.57,6.99,5.72,10.74,6.81,9.45,5.53,6.23,6.83,5.41,4.98,7.86,8.79,4.19,4.59,8.28,9.21,8.45,8.64,11.95,0.82,3.42,10.84,9.91,9.58,6.79,5.47,3.2,4.85,6.62,8,10.01,8.4
201008,-9.23,1.17,-5.02,-11.96,-7.29,0.42,0.03,-5.5,-8.74,-9.91,-8.24,-4.72,-10.03,-0.72,-2.07,-4.83,-9.01,-8.95,-8.74,-3.96,-9.02,-8.05,-8.88,-7.31,-4.03,-4.65,1.46,-5.39,0.41,-3.22,-7.55,-3.3,-8.38,-4.78,-8.85,-6.61
201009,-5.73,12.46,12.42,4.77,9.94,3.72,9.74,13.39,20.25,10.07,15.78,5.55,12.92,7.49,7.51,13.11,17.1,5.43,12.1,10.83,14.4,13.47,11.2,12.53,11.06,9.87,8.27,7.48,3.64,6.97,9.9,12.46,7.46,11.78,12,9.69
201010,19.43,8.44,2.82,6.59,-2.03,3.07,5.34,3.28,1.45,-0.78,9.69,4.7,7.05,3.73,5.34,1.66,10.85,2.44,4.64,6.32,4.86,3.94,7.11,2.32,4.06,5.35,1,8.33,1.86,0.23,4.95,2.09,1.97,7.52,-1.17,-1.4
201011,0.86,5.86,8.38,3.88,3.6,-0.14,-3.89,-1.01,9.2,7.19,3,-1.06,-3.2,-3.17,3.08,5.2,14.54,2.07,2.98,2.6,1.15,3.67,2.24,0.83,4.93,2.42,-1.57,-2.11,-1.31,-2.52,0.29,4.8,-0.34,-1.31,-0.83,-0.69
201012,15.83,14.19,9.7,12.32,15.02,3.87,4.23,4.19,3.8,18.4,7.45,3.99,8.27,5,8.75,2.72,-1.75,16.3,13.32,7.53,6.41,5.72,5.86,8.91,3.75,3.19,8.27,5.38,3.22,7.99,6.83,2.75,10.51,6.7,14.7,5.05
201101,5.01,-5.29,6.14,-4.41,6.75,-2.59,-3.29,-3.65,-3.63,-2.4,1.56,6.26,2.48,-0.99,7.93,-1.8,-2.42,0.53,3.98,2.75,4.67,5.74,3.89,3.49,-3.72,-0.48,-2.54,2.33,2.23,2.44,2.8,-1.47,2.24,2.23,9.17,2
201102,-1.2,0.27,7.74,6.26,-0.46,3.5,8.65,7.1,10.4,3.1,3.58,1.23,3.01,2.97,8.13,7.33,7.25,6.09,3.98,2.9,2.38,4.1,0.46,4.07,3.42,1.42,2.35,11.94,2.43,-0.11,2.97,1.89,2.65,2.5,4.87,4.08
201103,0.33,2.83,2.2,-0.91,1.75,2.63,6.33,4.5,1.97,6.2,2.54,2.25,-0.04,1.93,1.23,-6.7,-2.22,2.56,0.75,2.87,-0.51,-2.96,2.14,1.46,0.22,3.01,5.76,-1.27,0.91,1.99,1.47,0.95,-1.49,0.03,-3.46,1.85
201104,-4.16,-1.44,0.17,0.89,-0.33,4.79,5.39,4.95,6.42,-5.54,3.43,1.36,0.26,6.29,2.42,7.74,10.3,2.02,0.58,1.06,1.48,4.6,2.35,3.63,4.4,2.93,1.84,4.65,3.99,4.64,4.06,4.6,0.65,2.97,1.89,2.95
201105,2.86,-5.64,-4.68,-6.57,-2.81,1.42,4.5,2.89,-1.99,-9.07,-2.3,2.83,2.33,1.48,-4.38,1.98,1.61,-0.31,-5.35,-0.1,-3.55,-1.85,-2.26,0.49,-1.27,-0.44,1.49,0.23,1.3,-0.5,1.2,0.83,-2.5,-1.76,-4.13,-1.96
201106,1.51,-3.03,-3.22,-4.22,-5.29,-0.01,-5.6,-6.35,3.83,-8.6,4.18,-2.05,-1.43,-1.55,-1.71,3.71,2.02,-5.48,-1.89,-1.73,-2.65,-3.62,0.07,-1.69,0.22,-0.47,-0.78,-1.59,-0.34,-1.93,-2.1,-0.69,-2.18,-1.22,-3.04,-0.26
201107,1.31,1.1,3.11,-7.61,-4.97,-1.89,2.86,-6.29,3.35,-1.86,-9.37,-3.64,-3.72,-2.72,-1.47,-1.34,1.43,-7.1,-6.22,-6.28,1.25,-6.35,-7.39,-6.83,-3.84,-5.09,-5.92,-4.33,-0.35,-8.65,-4.58,0,-3.9,0,-4.29,-7.01
201108,-6.75,-6.51,-14.12,-0.97,-10.01,0.5,0.33,-7.01,-3.84,-5.6,-11.7,-2.64,-7.22,-2.33,-6.46,-5.25,-10.52,-11.94,-13.2,-6.43,-7.47,-7.42,-8.92,-6.75,-5.85,-6.98,-2.26,-7.88,0.14,4.43,-4.05,-2.61,-9.13,-7.18,-3.98,-5.76
201109,-12.83,-25.17,-20.58,-17.85,-15.99,-3.65,-4.93,-14.41,-6.98,-15.01,-13,-4.77,-8.53,-5.22,-5.68,-5.75,-6.18,-23.06,-20.49,-13.77,-7.95,-6.54,-8.62,-8.98,-8.4,-9.34,-2.3,-8.96,-1.63,-4.2,-8.14,-3.18,-11.02,-6.37,-3.95,-11.89
201110,20.97,22.34,24.43,14.88,19.99,2.88,7.61,14.26,17.88,20.5,20.79,7.72,9.88,6.75,11.12,12.94,23.14,27.33,18.15,19.86,15.21,13.23,15.6,8.36,12.77,15.28,2.97,11.95,6.68,2.67,13.76,9.09,13.43,12.58,9.81,9.18
201111,0.26,-0.56,2.27,1.73,1.83,0.53,7.17,-1.08,-5.6,2.67,-4.71,1.93,-0.68,1.24,1.58,-0.63,-4.84,0.25,-1.46,3.02,-1.58,-0.01,-2.29,-0.31,0,1.49,0.16,-0.05,0.99,-3.06,1.17,1.19,-2.91,-1.73,-0.56,3.14
