YYYYMM,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM
201001,-2.8201,-6.356,-1.348,-3.2358,-2.9347,-3.5852,-2.5382,-2.0084,0.1256,0.768,-1.1908,-6.3421,-6.8582,-5.8178,-5.6937,-3.1595,-3.8867,-5.9116,-4.6367,-1.579,-1.5765,-6.8739,-1.8306,-0.9461,-1.7648,-0.821,-3.764,-3.7848,-0.2305,-7.8288,-1.0317,-2.1888,-5.174,-4.6064,0.0134,-1.4611,-4.5637,1.518,-3.6868,-5.4127,-4.6466,-3.7897,-2.8387,-3.4576,-5.5103,-2.394,-2.2747,-2.0607,-5.4401,-3.9825,-1.9219,-4.0258,-5.4078,-1.6178,-3.9437,-3.601,-5.3985,-4.9048,-0.5909,-2.417,-2.9561,-3.7192,-5.4739,-3.8032,-6.9172,-2.1459,-1.5063,-3.1208,-1.9222,0.666,-4.6134,-3.2008,-3.2277,-3.0541,-5.627,-7.4077,0.2926,-3.7018,-3.4515,-1.7736,-1.8373,-5.172,-6.0302,-3.5744,-0.1331,-2.7312,-3.8511,-2.17,-1.6052,11.7795,-4.0635,-4.3784,-3.3811,-2.7411,-0.5236,-2.4517,-1.0216,-7.7738,-9.3581,-0.0388
201002,5.4017,-0.8427,-0.043,0.2166,4.8072,4.8683,2.0233,3.2453,5.2329,5.9793,4.8247,4.2397,3.3369,7.0783,4.9444,5.1623,4.6813,9.422,4.4444,12.5149,3.2667,-0.0517,5.2474,3.062,4.1585,1.1757,6.9477,4.219,6.0352,8.8443,0.5646,4.9233,3.1192,3.1357,4.2176,1.0337,5.3769,8.9431,3.7905,4.2884,4.7953,5.5453,3.3197,3.8779,3.5604,3.0291,5.9995,9.0477,8.9217,16.6106,4.5062,2.727,4.8802,3.6929,4.7866,4.5615,10.481,3.7197,3.6469,6.9187,2.5126,2.7928,3.4544,8.7006,6.2344,3.6031,5.8296,5.6402,2.2241,8.2133,5.5945,5.8514,12.2815,3.8025,7.0205,3.7072,2.5611,1.7386,6.1117,10.3927,2.2226,3.6372,6.0484,3.7856,4.5483,4.9267,1.9124,2.6737,3.0198,2.5622,2.3651,2.5695,3.989,1.1401,1.7437,2.9868,3.5876,5.3443,5.2278,8.3319
201003,7.5682,1.0599,6.487,8.1482,8.5805,8.1066,6.7551,7.761,8.9904,8.6749,11.3547,4.8372,5.9257,6.8047,8.3185,7.9567,4.1745,8.5171,12.2603,10.3097,6.3098,6.4623,6.8292,8.4678,7.4122,9.2946,9.3952,5.3929,7.7047,17.9169,2.8796,11.8479,6.4921,10.6503,6.7408,8.4562,7.7909,7.4597,7.3474,17.0011,10.8778,8.306,2.881,6.715,9.223,9.9004,7.5868,7.3898,9.1124,5.5761,11.5084,7.7921,7.3574,8.6234,8.5841,9.5927,8.4746,7.6469,9.3224,5.9941,9.2714,5.8385,6.1841,6.1039,7.1501,6.9822,6.9826,4.9146,10.7817,7.6795,7.6805,9.0326,4.1832,8.9681,9.8638,7.5307,6.7198,4.2121,10.099,16.8407,4.8403,6.1404,6.3606,5.8912,1.7668,4.4167,6.946,8.3479,8.3317,13.3375,4.5674,5.6122,3.9592,6.31,6.0678,10.2931,7.5158,6.1118,3.939,8.9967
201004,8.67,9.8134,6.7701,9.1707,6.111,3.9046,9.9199,9.6944,11.6309,14.9145,5.6362,5.0127,4.4899,8.3009,3.7092,8.883,10.187,10.2825,9.3056,11.066,2.2116,3.0438,6.7769,5.3326,3.8578,8.0911,2.8714,8.2978,6.9355,9.0696,2.0321,1.2627,5.2979,5.4714,2.1251,7.5911,3.8024,10.3907,3.548,11.4829,4.4885,2.46,5.9353,7.497,3.1519,7.0105,8.9323,7.267,8.5102,8.4545,1.8813,3.1856,4.5962,5.2675,1.6929,2.7389,-0.9258,6.6967,2.2277,3.2574,7.6794,4.0847,4.2279,4.5119,3.1203,4.1342,11.3906,6.4072,5.3925,6.0692,5.0236,1.3349,4.4014,4.9808,1.7848,4.344,0.0856,8.5359,6.9241,1.4181,3.7124,2.3837,1.4079,-0.4208,3.0256,3.5208,4.1053,3.2714,2.8972,11.5466,-0.3792,0.3551,1.8433,4.1022,1.1854,2.8438,-2.2016,-3.1264,3.3458,1.6361
201005,-11.8855,-5.6124,-3.4627,-9.8674,-4.903,-7.9148,-8.2259,-8.0099,-7.0575,-10.727,-6.0082,-6.4647,-4.6751,-4.8619,-6.3178,-7.928,-10.4018,-10.3824,-12.0505,-11.6697,-7.2956,-3.7999,-6.5269,-7.7039,-6.7983,-8.4663,-5.73,-8.9867,-10.6645,-11.1531,-2.3732,-6.3255,-6.6902,-5.0101,-6.1402,-8.6505,-8.2888,-12.4435,-9.3643,-7.8709,-7.8683,-4.0135,-8.5132,-4.9191,-4.9294,-6.9669,-10.1974,-12.5229,-11.7253,-10.3863,-7.3758,-5.8184,-5.7075,-7.2129,-6.5246,-7.9199,-7.5823,-9.1351,-7.4358,-6.3072,-5.896,-2.3618,-9.874,-9.3353,-9.4317,-8.132,-7.8637,-5.7398,-9.1187,-7.7774,-7.7797,-3.0129,-9.3771,-5.6431,-8.0211,-9.867,-8.3165,-6.1425,-6.8384,-8.5884,-5.6433,-6.5312,-6.7764,-5.375,-9.9233,-7.7238,-10.1088,-8.1176,-9.0462,-26.9946,-8.4311,-6.855,-8.6746,-7.8731,-9.0775,-10.4674,-8.1021,-6.2727,-10.2912,-9.225
201006,-10.5087,-10.4602,-4.9437,-12.086,-6.4526,-7.7373,-7.0212,-6.1767,-8.337,-12.6159,-5.6019,-5.0943,-5.8867,-6.5269,-5.8074,-7.4517,-9.5862,-6.5682,-8.8703,-15.5154,-6.399,-3.9669,-6.9167,-1.8144,-4.9994,-9.8003,-12.3152,-8.0198,-8.7604,-18.5199,-6.2196,-5.1899,-3.2596,-6.8845,-7.5683,-7.9528,-9.5946,-11.7767,-8.9632,-16.8431,-5.9428,-7.0858,-8.0276,-5.8544,-6.5974,-10.0198,-7.0315,-8.5139,-12.6753,-12.9777,-7.7883,-3.4702,-4.4342,-6.9269,-6.2492,-6.664,-6.8976,-8.0043,-9.7018,-12.5449,-4.6752,-1.9327,-6.1004,-4.3418,-7.0577,-8.376,-10.1157,-10.1099,-8.5753,-7.9206,-3.3172,-6.1292,-6.7353,-6.8893,-6.8057,-7.4016,-10.0983,-3.4793,-7.9135,-13.4134,-3.8935,-5.6393,-4.7672,-4.6989,-4.6147,-4.0253,-3.4287,-9.2962,-7.6358,-26.7837,-3.5114,-4.0671,-8.182,-6.6359,-1.3853,-7.3422,-8.9429,-7.3804,-14.3858,-8.9318
201007,7.0408,7.2897,2.9707,6.039,5.9041,5.5464,4.6139,5.1619,5.744,4.3833,5.0577,5.5448,6.8055,4.8345,6.6087,9.1979,6.9431,6.4415,8.2205,7.805,7.4342,9.6459,3.4262,9.7362,5.0319,3.9193,4.4387,9.4373,8.4357,7.1211,4.0848,7.4973,9.992,7.0435,9.984,4.9166,6.9709,8.2369,2.7774,7.3289,7.3372,6.7161,8.3961,5.3289,3.9248,7.7048,10.9956,10.0088,6.2625,11.8102,6.844,5.7862,7.1991,8.2072,5.2319,2.6007,7.5942,3.6806,6.1722,9.9909,9.4024,5.7506,0.59,5.6658,8.0429,8.9154,11.7423,7.135,8.7522,5.645,7.2149,5.9795,7.739,8.3939,6.8893,11.3766,7.6067,7.9614,5.4048,5.6321,7.6238,4.9487,8.0654,7.5797,9.2519,5.0539,7.5161,6.8562,11.3311,6.6034,6.7359,7.4316,5.5625,4.9337,5.8907,10.6041,8.9843,5.6435,6.7354,2.7507
201008,-8.1752,-5.0243,-9.376,-9.1697,-8.8756,-8.4671,-7.6029,-11.0829,-7.4924,-7.8607,-10.541,-9.4211,-9.4408,-6.5028,-8.0598,-9.1848,-9.197,-11.0106,-10.6594,-12.72,-3.2329,-7.1939,-10.7227,-8.4127,-6.7781,-10.167,-10.7873,-7.1675,-7.8154,-10.7715,-4.4078,-8.5521,-4.4375,-9.7402,-7.8257,-9.3637,-4.772,-4.9274,-5.1205,-9.836,-6.2089,-7.3215,-6.3796,-4.3211,-8.6475,-8.1314,-8.0741,-8.8783,-8.3235,-8.7345,-3.2482,-3.0287,-6.5478,-6.8051,-7.697,-8.7226,-5.7207,-4.796,-3.93,-8.404,-8.6215,-2.5486,-4.1152,-6.6142,-5.6163,-5.5102,-4.5564,-1.219,-4.7867,-8.1212,-2.8277,-4.3827,-3.5544,-5.2531,-3.9438,-7.6347,-5.0613,-6.1205,-4.3125,-8.8109,-3.3112,-3.7678,-4.3924,-4.1727,-6.7948,-1.72,-4.2301,-1.5544,-7.3732,-10.2615,-3.3698,-5.1213,-3.9414,-2.5515,-4.6514,1.3656,-6.7582,-5.3774,-5.7957,-10.4645
201009,15.2652,9.3436,9.2174,12.4841,15.5884,10.3644,10.5234,11.8957,9.8109,8.1101,14.9728,5.1965,12.3836,10.1216,13.128,14.4758,12.3326,11.9684,11.9081,13.4925,13.326,12.1567,13.9031,15.0986,11.407,12.769,11.7677,12.5595,11.7002,12.8212,17.6583,16.2342,14.2341,16.3421,12.2287,15.9474,9.0828,10.1196,12.1207,9.0304,16.9239,11.1982,18.0295,10.2028,12.2549,12.8447,13.4106,9.2208,12.6614,12.2944,14.9988,8.6122,13.6456,14.9892,11.2945,12.4989,11.7828,10.3099,10.1162,10.2597,10.4239,9.7597,12.7809,11.326,11.48,8.3364,9.0299,7.4309,10.2917,12.705,12.3076,13.1273,11.0459,11.1458,9.9226,13.9996,9.631,5.1365,8.9891,9.3291,11.221,12.0303,11.7411,8.7084,8.433,8.36,10.5867,6.6944,12.5667,12.0142,10.6671,9.2262,7.666,7.8763,7.3783,9.4484,8.5038,5.6951,5.5137,5.2599
201010,5.0765,6.6078,4.7884,2.0314,4.4258,8.8192,3.4093,4.6965,4.1801,3.9127,8.3987,6.1501,7.8815,5.1641,7.5001,3.0464,6.4554,4.8075,3.8699,1.4916,6.4086,3.3488,5.7467,3.597,3.2706,3.7316,4.1873,3.4077,4.2541,2.2406,0.5811,5.4351,3.71,3.937,3.4399,4.2031,2.9332,2.8426,0.4013,4.2417,4.3966,7.4322,2.8973,6.2158,5.5848,3.776,-1.9381,5.6551,5.391,2.8981,3.8264,3.5372,4.511,2.5638,6.227,2.5525,6.0186,4.4121,1.8708,5.0987,0.1841,1.9532,4.3901,4.1259,0.6241,4.2569,1.5179,0.6453,2.0246,-2.2553,2.5981,5.1823,4.8789,4.8748,5.8102,6.6089,3.287,1.5063,1.0427,-1.3705,4.3008,3.1543,4.3032,3.6691,5.4769,0.5739,6.211,3.1276,6.47,-1.0921,6.0846,3.9263,4.7341,4.2386,4.2183,4.1025,2.2895,0.5401,3.4748,-3.8412
