YYYYMM,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
201001,-4.0107,-5.1833,-4.1238,-3.7984,-1.1344,-3.1482,-3.5182,-0.9148,-2.8373,-3.8903,-3.6027,-3.3292,-3.9344,-3.8989,-3.0181,-3.736,-3.7971,-5.194,-2.0397,-2.3055,-4.1074,-3.4519,-1.1291,-4.8511,-1.419
201002,3.9398,3.8652,4.9805,5.279,6.9355,2.0089,3.6178,2.6434,6.1092,5.5151,4.0771,3.9857,4.1336,6.898,8.9695,4.8376,7.0729,5.0391,3.9994,6.5729,2.503,3.047,2.5777,4.131,5.9635
201003,7.0563,6.7266,8.1908,6.915,9.91,6.8252,8.1945,7.923,7.259,11.3525,9.4008,6.7837,9.1881,7.7963,7.686,8.1858,6.3273,7.9538,5.7376,12.1351,5.1055,5.3812,6.4205,6.7749,8.3203
201004,6.5324,7.0948,5.7048,10.0457,12.0676,2.1525,5.707,5.3067,6.553,7.211,2.9783,5.8559,3.244,5.4602,5.7208,3.9877,4.5473,3.3262,7.0332,4.7657,0.3353,2.454,1.9497,-1.4683,2.6299
201005,-7.2435,-5.5411,-7.0122,-9.4148,-10.4536,-4.839,-6.2769,-7.485,-9.0595,-9.8144,-6.2864,-6.398,-6.5589,-9.6301,-9.2366,-5.1238,-8.4172,-8.7208,-6.9844,-7.9704,-7.4718,-7.781,-9.3333,-7.5657,-10.0445
201006,-6.9684,-7.0877,-6.8236,-7.2984,-11.5687,-5.3608,-5.049,-7.7378,-10.1099,-12.566,-5.6452,-6.1802,-7.1498,-7.5309,-11.8053,-4.3569,-6.1917,-7.48,-8.4454,-9.7449,-3.881,-6.7746,-3.2058,-7.3211,-9.7677
201007,6.0993,5.3258,7.0835,6.0452,6.1248,6.9585,7.9729,6.2907,7.2036,6.1464,6.577,7.3062,5.0446,8.0855,7.9891,6.9258,6.4331,8.5226,8.0644,6.4438,6.946,5.8671,7.9732,7.2338,5.4387
201008,-8.666,-8.3962,-8.6325,-9.8078,-9.2155,-5.7503,-8.2139,-8.5427,-6.5994,-8.3265,-4.396,-6.1295,-8.2788,-6.6838,-6.4148,-4.273,-4.672,-5.4972,-4.1776,-6.1855,-4.1178,-3.7301,-2.0539,-5.6061,-8.7427
201009,11.4799,11.1197,13.4166,11.8094,10.222,15.0181,15.0552,13.3213,10.598,11.3616,12.6575,14.0189,12.2477,11.426,10.9953,12.0438,11.4018,10.8583,7.6312,9.7537,10.2256,8.1623,8.4317,7.2634,7.2862
201010,6.5823,5.093,5.794,5.0783,3.5681,3.6512,4.0574,3.7033,3.2698,2.6191,4.4916,3.9593,4.5448,3.8483,3.1714,3.1816,4.6899,4.1812,1.7856,0.3295,4.8514,4.476,3.9224,1.8591,0.0004
201011,1.5639,3.6767,5.4603,4.2276,3.4335,3.3844,4.4325,3.2953,3,4.408,3.7786,5.7085,2.447,3.7754,1.5962,4.5745,3.7455,2.7015,1.3251,-0.6537,-0.9458,2.1989,-0.7576,-0.0874,-3.3022
201012,10.0342,8.05,7.5878,8.6681,9.4987,7.8146,7.4671,7.8609,8.0373,10.327,6.2908,7.8666,8.7402,7.0393,8.3042,4.9619,7.1179,7.5152,8.9611,9.4169,4.4081,6.1664,6.9865,8.9975,13.9114
201101,-2.8892,-1.9299,-1.4994,-1.0345,-0.9053,0.8544,-0.7605,2.0171,0.0249,2.4796,1.9938,1.8231,-0.4183,3.8275,-0.5908,1.8178,3.7018,1.7391,1.8649,0.7969,1.3331,3.5996,2.688,2.6427,3.3646
201102,1.3487,5.3593,3.8139,4.8326,6.4286,5.6209,7.0538,6.347,4.7208,5.4716,5.1197,6.3391,5.6419,5.1572,4.3091,4.6197,4.2343,4.1968,3.8385,2.4825,1.854,3.6967,4.98,3.7887,4.2459
201103,3.525,4.507,0.928,2.0679,1.658,2.5581,2.6432,3.041,1.4039,3.3482,4.8772,3.0971,2.7191,2.4012,1.7692,1.848,3.235,2.4797,0.8704,0.2955,-0.1453,-0.1114,1.6397,-0.6626,-2.7871
201104,2.6231,0.8197,0.5809,1.4936,0.3156,4.2446,2.1292,2.2685,1.8885,-0.0837,4.0252,3.9463,3.2939,3.0026,1.9733,3.4336,1.663,1.7871,2.8739,2.3315,3.6275,4.504,3.1565,0.7368,1.0266
201105,-1.0432,-1.1533,-2.346,-4.3593,-2.7987,-2.0516,-1.083,-0.5394,-3.5113,-3.102,-1.4884,-1.231,-1.6391,-4.2616,-0.4644,0.2349,-0.5264,-1.3847,-1.2304,-0.8777,0.0312,-2.4156,-1.4075,-2.1193,-3.4361
201106,-4.4656,-3.5935,-2.4074,-1.75,-2.4733,-0.9252,-2.1106,-1.3922,-0.5096,-1.5864,-0.8642,-2.0652,-1.7419,-0.9649,-3.6082,-1.5044,-2.0479,-2.94,-2.0306,-1.9402,-1.1946,-1.7893,-1.9783,-1.6608,-2.6407
201107,-5.1411,-2.9168,-2.9655,-1.2214,-1.4471,-3.6091,-3.6302,-5.2179,-3.0079,-5.6373,-4.8051,-3.7509,-3.2685,-5.117,-3.9894,-4.2804,-3.2701,-3.7506,-2.8546,-3.7489,0.1806,-1.7463,-1.4538,-3.9655,-5.477
201108,-12.2698,-12.1271,-8.8724,-10.4225,-9.7524,-9.3403,-8.7941,-10.373,-7.949,-10.9226,-7.421,-8.2455,-8.51,-8.8934,-9.3124,-7.9978,-7.7235,-8.8211,-8.4456,-6.7998,-3.7373,-4.6664,-6.9631,-3.895,-11.6246
201109,-11.3747,-12.7857,-10.7912,-10.8996,-10.3761,-10.419,-11.9318,-11.7919,-10.7002,-10.9002,-10.3191,-12.9201,-11.8252,-10.9883,-10.8268,-9.0978,-11.0662,-12.5487,-8.9207,-9.5715,-6.244,-5.0289,-7.0642,-5.8328,-13.7443
201110,12.7765,15.2144,14.5428,14.8943,10.066,17.9882,14.8176,16.2321,15.0213,14.8697,14.1305,16.7689,17.0686,15.3489,12.4701,15.0001,15.8558,15.5093,11.8231,12.1434,9.2932,10.5424,12.639,8.8392,15.0436
201111,-2.3941,-1.0101,-3.0026,-1.0888,-0.2114,-0.208,-2.0079,-0.0873,1.7968,0.2996,-1.4029,1.4769,-0.8186,1.4954,-0.1114,-0.5127,-0.7013,1.2309,1.3695,-1.4406,-0.6117,1.2976,0.808,0.0343,-6.2872
201112,-0.5296,1.9776,0.8784,1.9242,1.3191,-0.8658,0.4528,1.3924,0.5667,1.2198,-2.1265,-0.2914,0.4303,0.3346,2.9906,-2.5647,0.4679,-0.4221,3.8717,-0.3661,-0.4627,0.7776,2.1081,3.496,1.3697
201201,12.5284,7.5362,7.4175,7.7047,7.6725,7.969,5.9429,7.8087,5.4443,5.3054,8.1017,5.4909,7.3508,5.8644,2.7214,9.6155,6.3738,4.9484,3.1347,4.1316,7.2476,2.5414,2.0436,2.1654,9.2604
201202,1.2453,0.7963,1.3222,0.9979,2.6223,4.112,3.7074,1.341,2.7195,4.5585,4.1552,3.5881,3.8789,4.1697,3.6348,4.728,5.3059,3.7889,3.5975,6.0822,5.2331,2.9635,3.9632,4.6119,6.8244
201203,2.6218,3.5184,3.4639,3.1249,4.8544,1.839,1.754,2.6932,3.8087,2.7545,1.5167,1.179,1.8193,2.1687,-0.424,4.5096,0.3038,-0.8722,2.2816,1.8055,4.1855,2.1281,0.4731,3.6525,7.797
201204,-3.7528,-2.1486,-1.8069,-1.6625,-0.187,-0.0509,-2.6213,-2.0757,-2.4557,-1.8356,-2.4227,-0.6781,-1.4695,-0.9053,0.4023,-0.5999,0.2426,-0.3768,0.7101,-3.2153,-0.2852,-0.8197,-0.0443,-0.6624,-4.006
201205,-8.4995,-5.6465,-7.2323,-8.1781,-4.9264,-5.7645,-5.8499,-7.6783,-5.3379,-7.2916,-6.5277,-7.0231,-7.4871,-5.9881,-6.8951,-7.2575,-8.5972,-9.3574,-6.4389,-5.7468,-6.2638,-5.2724,-5.1515,-2.8059,-12.6471
201206,7.0023,7.7238,5.4119,5.7757,5.4401,6.3782,4.6183,4.7734,2.9877,5.1919,5.2388,2.6946,2.4518,2.8385,3.5,0.4826,1.789,3.4632,2.5955,3.4501,2.6194,4.4879,4.6324,5.4508,5.9293
201207,-2.6008,1.278,-2.9281,-1.695,-2.3957,-4.1286,-0.2531,-1.1257,-1.3191,-0.4583,-2.1803,-0.266,-0.2724,0.5021,-4.6355,-2.4679,0.3026,-0.3018,-0.618,-1.1813,1.1418,2.5557,1.217,1.9324,-1.2911
201208,2.5308,0.4876,3.9434,2.8143,3.3491,2.0811,2.3918,3.0053,3.3427,3.465,5.4002,3.085,4.3261,4.2043,3.4599,4.067,4.1647,2.3299,3.9868,6.0006,2.738,2.008,1.4008,-0.2497,6.6012
201209,5.0043,5.1366,4.7307,4.587,4.5407,4.9037,3.5109,4.0996,3.8428,3.5052,2.6985,1.5455,1.9474,2.8209,3.6047,2.0755,2.0379,2.6947,2.3823,3.2987,1.5788,2.3757,3.8939,3.2243,5.3173
201210,-5.6041,-4.4292,-3.7449,-3.4515,-1.1848,-6.0189,-2.3308,-1.1498,-1.7988,-1.0151,-4.2256,0.3543,-0.4247,0.7212,0.0592,-1.0778,0.0129,-0.7423,1.4008,1.099,-4.0947,-0.9652,-1.5873,-1.8432,4.0016
201211,-0.6239,1.9166,0.7686,-0.5292,1.1513,-0.5924,0.3912,0.4249,0.4592,2.6845,2.6664,3.455,2.5727,1.3476,0.9697,2.9408,3.1517,0.6445,-0.46,0.8611,1.7028,0.2193,-0.489,-0.581,-1.4387
201212,0.3402,3.672,3.9519,4.4356,4.4479,3.8456,3.1355,3.857,3.6088,4.8296,2.1845,3.8337,2.1805,2.7587,4.6263,1.9638,2.2407,3.3748,3.9509,3.1848,-1.0771,-0.1614,1.6935,1.5144,7.498
201301,6.6974,4.2829,6.011,5.5822,5.6356,7.659,6.2325,6.4485,7.7058,4.0509,5.2301,6.3228,6.3335,6.6405,8.5929,7.3366,6.6655,7.6642,8.5505,9.3833,3.6321,5.4075,5.6548,6.5886,6.7644
201302,-1.2635,-0.1776,-0.5974,1.9268,1.5903,1.0105,1.264,0.7263,2.0213,1.1364,0.556,0.9836,1.1837,2.0278,1.174,0.6215,1.4977,1.8929,0.1647,2.6922,0.9366,1.4179,1.9687,2.9335,0.0184
201303,7.5616,6.7473,5.0441,3.9355,4.5695,5.2174,4.6922,3.9224,4.4723,4.2678,3.8098,4.7349,5.8068,3.1602,6.104,4.0652,4.2459,5.4346,5.252,5.9718,3.6928,3.3625,4.2151,4.5953,3.2178
201304,-0.0905,-0.3291,-0.9762,-0.7642,0.8369,-1.2653,-1.8147,-1.1276,-1.5406,1.5632,-1.835,0.6672,-0.7401,-0.9056,-1.6834,0.8931,1.2157,0.0197,1.5465,0.8475,1.8559,1.5416,2.4265,1.5423,3.3364
201305,7.8064,4.0387,3.6475,6.5017,4.134,5.4514,4.3522,5.9911,4.8602,7.8307,3.1199,5.5892,4.3721,5.1808,4.1908,3.6284,3.7187,1.3911,3.184,5.0037,1.9585,2.3538,0.5327,1.9426,8.7881
201306,-0.8207,-0.6441,1.6054,1.4416,0.1312,1.8431,-0.0973,-0.4691,-0.965,-0.4827,-0.3468,-1.1193,-1.4805,-0.8771,-0.433,-2.0047,-2.2218,-0.9789,-2.2816,-1.2403,-2.7869,-0.2978,0.2032,-0.0161,-2.9269
201307,7.5236,9.595,7.6025,8.6013,7.4202,6.7208,7.1439,6.7156,6.8991,7.9808,8.5463,6.9981,6.1629,8.071,9.0584,7.951,4.4213,6.3012,7.6521,5.7648,5.2668,4.8957,4.6761,5.0195,6.8912
201308,-2.3064,-2.6881,-2.7268,-3.4869,-3.2584,-0.4451,-1.3887,-3.2211,-3.5255,-3.8129,-1.8698,-2.3534,-3.5667,-4.4788,-4.0582,-1.6014,-1.7668,-3.3978,-3.0263,-2.9602,-0.9442,-3.3106,-3.4672,-3.617,-4.4519
201309,7.4598,8.1252,6.3114,6.7357,6.2362,7.0235,6.0496,7.4027,5.9718,5.4922,6.0058,5.8598,5.6975,5.2108,4.2404,5.418,5.971,4.8336,5.4854,4.4897,4.2201,2.6193,2.4143,2.7747,2.0388
